User ID,Age,Gender,Height,Interests,Looking For,Children,Education Level,Occupation,Swiping History,Frequency of Usage
65,29,Female,5.498101994384479,"['Travel', 'Movies', 'Reading', 'Sports', 'Music', 'Cooking', 'Hiking']",Marriage,Maybe,Ph.D.,Entrepreneur,100,Monthly
66,32,Female,6.091946191621808,"['Reading', 'Music', 'Cooking', 'Hiking', 'Sports', 'Movies', 'Travel']",Long-term Relationship,Maybe,Bachelor's Degree,Doctor,21,Daily
67,33,Male,5.787207187664832,"['Movies', 'Cooking', 'Travel', 'Music', 'Reading', 'Hiking']",Marriage,Yes,Bachelor's Degree,Engineer,64,Daily
68,34,Female,5.875026150843842,"['Music', 'Cooking', 'Travel', 'Reading', 'Sports', 'Hiking', 'Movies']",Long-term Relationship,No,Master's Degree,Doctor,40,Weekly
69,31,Female,5.675738905050974,"['Movies', 'Travel', 'Music', 'Hiking', 'Cooking', 'Sports']",Friendship,Maybe,Bachelor's Degree,Student,40,Monthly
70,22,Female,4.9861485463213535,"['Cooking', 'Sports', 'Reading', 'Hiking', 'Movies', 'Music']",Long-term Relationship,No,High School,Entrepreneur,83,Daily
71,30,Male,6.010019898751484,"['Reading', 'Travel', 'Music', 'Sports', 'Movies', 'Hiking']",Casual Dating,Yes,Ph.D.,Entrepreneur,90,Weekly
72,27,Male,5.045984409166938,"['Hiking', 'Cooking', 'Movies', 'Travel', 'Reading', 'Sports']",Friendship,Maybe,Master's Degree,Business Owner,77,Weekly
73,25,Female,5.945594046489266,"['Hiking', 'Music', 'Sports']",Long-term Relationship,Maybe,Bachelor's Degree,Business Owner,43,Weekly
74,31,Male,4.915831462311005,"['Travel', 'Sports', 'Reading', 'Cooking', 'Hiking']",Friendship,No,Master's Degree,Engineer,70,Daily
75,28,Male,6.017204886810353,"['Reading', 'Cooking', 'Sports', 'Hiking', 'Travel']",Long-term Relationship,No,Bachelor's Degree,Entrepreneur,95,Daily
76,32,Female,4.821520923466465,"['Music', 'Movies', 'Hiking', 'Travel']",Friendship,Maybe,Master's Degree,Business Owner,84,Weekly
77,35,Male,5.647848104854811,"['Hiking', 'Cooking', 'Sports', 'Reading']",Long-term Relationship,Yes,High School,Doctor,8,Weekly
78,25,Female,5.284758438205714,"['Travel', 'Movies', 'Reading']",Casual Dating,Maybe,Ph.D.,Doctor,98,Daily
79,23,Male,5.315058504308027,"['Sports', 'Cooking', 'Reading', 'Movies']",Marriage,Maybe,Master's Degree,Student,80,Daily
80,31,Male,5.576484223790711,"['Travel', 'Sports', 'Hiking', 'Music', 'Reading']",Marriage,Maybe,Bachelor's Degree,Entrepreneur,69,Monthly
81,20,Female,5.278267424924374,"['Hiking', 'Cooking', 'Music', 'Sports']",Friendship,Yes,Ph.D.,Teacher,18,Weekly
82,34,Male,5.182119518799928,['Reading'],Long-term Relationship,Yes,Master's Degree,Entrepreneur,67,Monthly
83,23,Male,5.765614765126895,"['Movies', 'Sports', 'Reading', 'Travel', 'Cooking']",Marriage,No,Ph.D.,Entrepreneur,45,Weekly
84,18,Female,5.0869259389500066,"['Music', 'Hiking', 'Travel', 'Movies', 'Sports', 'Reading', 'Cooking']",Marriage,No,Bachelor's Degree,Engineer,68,Daily
85,25,Female,5.274114756058384,"['Music', 'Travel']",Marriage,Yes,Bachelor's Degree,Student,21,Monthly
86,25,Male,5.873622342975061,"['Movies', 'Sports', 'Reading', 'Travel', 'Cooking']",Long-term Relationship,No,Bachelor's Degree,Business Owner,91,Monthly
87,25,Male,5.306325799643069,"['Hiking', 'Sports']",Casual Dating,Maybe,Ph.D.,Teacher,23,Weekly
88,24,Male,5.440640587836819,"['Music', 'Hiking', 'Travel']",Friendship,Yes,Master's Degree,Artist,47,Daily
89,23,Male,5.1188000480231635,"['Music', 'Reading', 'Sports', 'Cooking', 'Travel', 'Movies']",Marriage,Yes,High School,Engineer,19,Weekly
90,25,Female,5.404581791109265,"['Sports', 'Cooking', 'Music', 'Hiking', 'Movies']",Marriage,No,Ph.D.,Student,0,Weekly
91,24,Female,5.966181867384575,"['Cooking', 'Travel', 'Sports']",Friendship,Yes,High School,Student,98,Weekly
92,22,Male,5.110225909668289,"['Music', 'Hiking', 'Cooking', 'Travel', 'Movies', 'Reading', 'Sports']",Marriage,Maybe,Ph.D.,Student,20,Weekly
93,34,Female,5.1323959537433055,['Cooking'],Long-term Relationship,No,Bachelor's Degree,Engineer,62,Daily
94,24,Female,4.849596585846308,"['Travel', 'Sports']",Friendship,Maybe,Ph.D.,Student,81,Weekly
95,31,Male,5.588251148792093,"['Hiking', 'Sports', 'Music']",Long-term Relationship,Maybe,Bachelor's Degree,Student,91,Daily
96,32,Male,5.9894811472543354,"['Travel', 'Hiking', 'Reading']",Long-term Relationship,Yes,High School,Social Media Influencer,97,Weekly
97,29,Male,5.079546903190221,['Music'],Friendship,No,Master's Degree,Artist,48,Daily
98,21,Male,5.87590064153706,"['Travel', 'Hiking']",Marriage,Maybe,Ph.D.,Engineer,21,Daily
99,33,Female,5.854466419958818,"['Reading', 'Cooking', 'Sports', 'Hiking', 'Movies', 'Music', 'Travel']",Casual Dating,No,Bachelor's Degree,Entrepreneur,97,Monthly
100,21,Female,5.671092132278706,"['Reading', 'Hiking', 'Sports']",Marriage,Yes,Ph.D.,Teacher,52,Weekly
101,35,Male,5.059604715378536,"['Sports', 'Travel', 'Music', 'Reading', 'Movies', 'Hiking', 'Cooking']",Long-term Relationship,No,Master's Degree,Social Media Influencer,20,Monthly
102,32,Male,4.893286395470057,"['Cooking', 'Hiking', 'Sports', 'Travel', 'Movies']",Friendship,Maybe,Master's Degree,Entrepreneur,17,Daily
103,21,Female,5.5766036885373635,"['Reading', 'Cooking', 'Movies', 'Music', 'Sports', 'Travel']",Casual Dating,No,High School,Artist,84,Monthly
104,31,Male,5.9922740354467745,"['Reading', 'Music', 'Movies', 'Hiking', 'Sports', 'Cooking', 'Travel']",Casual Dating,Yes,High School,Teacher,82,Daily
105,27,Male,4.9210422673068654,"['Movies', 'Hiking', 'Reading', 'Cooking', 'Travel']",Casual Dating,No,Master's Degree,Business Owner,64,Daily
106,22,Female,5.456322761502873,"['Cooking', 'Travel']",Marriage,No,Ph.D.,Social Media Influencer,100,Monthly
107,29,Male,5.818562322699719,"['Travel', 'Hiking', 'Movies', 'Sports', 'Reading', 'Cooking']",Friendship,Maybe,High School,Entrepreneur,82,Monthly
108,24,Male,5.39312551524986,"['Hiking', 'Music', 'Cooking', 'Travel']",Friendship,Maybe,High School,Artist,87,Monthly
109,19,Male,4.832884726800248,"['Reading', 'Movies', 'Travel']",Marriage,No,High School,Engineer,85,Daily
110,22,Female,5.194927940774337,"['Hiking', 'Music', 'Travel', 'Movies', 'Cooking']",Casual Dating,Yes,Master's Degree,Engineer,42,Weekly
111,22,Female,5.489702856214108,"['Travel', 'Cooking', 'Sports', 'Music', 'Reading']",Marriage,No,High School,Student,91,Daily
112,19,Female,5.351056306389518,"['Reading', 'Music']",Marriage,Maybe,Bachelor's Degree,Social Media Influencer,23,Monthly
113,25,Male,5.908935827571413,"['Cooking', 'Movies', 'Music', 'Reading', 'Travel', 'Sports']",Long-term Relationship,No,Ph.D.,Social Media Influencer,86,Daily
114,30,Female,5.785305232978693,"['Cooking', 'Reading', 'Movies', 'Sports', 'Music']",Casual Dating,No,Ph.D.,Doctor,36,Weekly
115,25,Male,5.724978686627205,"['Movies', 'Reading']",Long-term Relationship,Maybe,Ph.D.,Student,99,Weekly
116,28,Female,4.948478625218401,"['Sports', 'Cooking', 'Hiking', 'Travel', 'Reading', 'Music']",Long-term Relationship,Yes,Bachelor's Degree,Doctor,90,Daily
117,23,Female,5.760777552727312,"['Hiking', 'Cooking', 'Movies', 'Travel', 'Reading', 'Music']",Casual Dating,No,Master's Degree,Social Media Influencer,71,Monthly
118,22,Female,5.439634253766098,"['Reading', 'Movies', 'Travel']",Marriage,Maybe,Master's Degree,Entrepreneur,75,Weekly
119,32,Male,5.711927418249435,"['Cooking', 'Movies', 'Reading', 'Music']",Long-term Relationship,Yes,Master's Degree,Social Media Influencer,13,Weekly
120,24,Male,5.37909694826297,"['Travel', 'Music', 'Reading', 'Hiking', 'Sports', 'Cooking']",Long-term Relationship,Yes,High School,Doctor,63,Daily
121,22,Female,5.27477813659427,"['Hiking', 'Travel', 'Music', 'Cooking', 'Movies']",Casual Dating,No,Bachelor's Degree,Entrepreneur,39,Daily
122,26,Male,5.690220676879612,"['Hiking', 'Movies', 'Travel']",Marriage,No,Ph.D.,Engineer,50,Monthly
123,29,Male,4.961811122603363,"['Movies', 'Hiking']",Long-term Relationship,No,Bachelor's Degree,Social Media Influencer,77,Daily
124,24,Male,5.581404551695822,"['Travel', 'Cooking', 'Music', 'Hiking']",Long-term Relationship,Maybe,Ph.D.,Student,25,Daily
125,26,Female,6.029058682201397,"['Music', 'Movies', 'Sports', 'Cooking', 'Reading']",Marriage,No,Master's Degree,Social Media Influencer,4,Daily
126,22,Female,5.835524648268973,"['Sports', 'Reading', 'Music']",Marriage,Maybe,High School,Teacher,29,Monthly
127,30,Female,5.9810082127353885,"['Travel', 'Sports']",Marriage,Maybe,Bachelor's Degree,Business Owner,26,Weekly
128,26,Female,4.918994437807686,"['Music', 'Sports', 'Reading']",Marriage,No,Ph.D.,Student,75,Monthly
129,32,Male,5.203101160708838,"['Reading', 'Sports', 'Hiking', 'Cooking', 'Movies', 'Travel']",Long-term Relationship,No,Master's Degree,Engineer,28,Weekly
130,32,Male,5.045238480212873,['Travel'],Long-term Relationship,No,Ph.D.,Artist,100,Daily
131,29,Male,5.788865011301586,"['Travel', 'Cooking']",Friendship,Maybe,Bachelor's Degree,Artist,42,Weekly
132,25,Female,4.87036799279614,"['Cooking', 'Music', 'Travel', 'Hiking', 'Movies']",Casual Dating,Maybe,Ph.D.,Student,27,Daily
133,26,Male,4.974412160901463,['Travel'],Marriage,No,Ph.D.,Teacher,55,Monthly
134,34,Female,4.84755592205849,"['Movies', 'Travel', 'Reading', 'Cooking', 'Hiking', 'Sports']",Marriage,Maybe,Bachelor's Degree,Business Owner,33,Monthly
135,35,Male,5.07022664669497,"['Cooking', 'Reading', 'Travel', 'Hiking']",Friendship,Maybe,Master's Degree,Doctor,80,Monthly
136,33,Female,4.824931355543041,"['Hiking', 'Movies', 'Cooking', 'Reading', 'Music', 'Travel', 'Sports']",Long-term Relationship,Yes,High School,Engineer,69,Daily
137,25,Female,5.634603463653517,"['Sports', 'Travel']",Long-term Relationship,Maybe,Master's Degree,Doctor,98,Weekly
138,22,Female,5.602284035875118,['Cooking'],Long-term Relationship,Maybe,Master's Degree,Business Owner,78,Weekly
139,28,Female,5.419478223890362,['Hiking'],Casual Dating,No,Bachelor's Degree,Social Media Influencer,3,Weekly
140,20,Male,4.9486877571208465,"['Music', 'Sports']",Casual Dating,Maybe,Bachelor's Degree,Entrepreneur,20,Monthly
141,32,Male,5.939907209537825,"['Sports', 'Travel', 'Music']",Long-term Relationship,Yes,Ph.D.,Student,55,Daily
142,27,Female,5.491959921929868,"['Movies', 'Reading', 'Travel', 'Hiking', 'Music', 'Cooking']",Marriage,Yes,Ph.D.,Artist,5,Daily
143,33,Male,5.969105878320783,"['Sports', 'Movies', 'Reading', 'Hiking', 'Travel', 'Music']",Casual Dating,Yes,Bachelor's Degree,Student,31,Weekly
144,32,Male,6.035192829097504,"['Travel', 'Reading', 'Movies', 'Sports', 'Music', 'Hiking']",Long-term Relationship,No,Bachelor's Degree,Business Owner,87,Daily
145,32,Female,5.695097121543555,"['Reading', 'Music', 'Hiking', 'Cooking']",Long-term Relationship,Yes,Master's Degree,Artist,49,Monthly
146,24,Male,5.900181697140749,"['Travel', 'Reading']",Long-term Relationship,Maybe,Master's Degree,Entrepreneur,97,Daily
147,34,Male,5.913154590141187,"['Reading', 'Travel', 'Movies', 'Hiking', 'Cooking', 'Music', 'Sports']",Friendship,No,Bachelor's Degree,Business Owner,66,Daily
148,21,Female,4.997129458458726,"['Cooking', 'Reading', 'Travel', 'Sports']",Friendship,No,Master's Degree,Social Media Influencer,47,Weekly
149,25,Female,4.936878073682302,"['Reading', 'Movies', 'Sports', 'Hiking', 'Travel']",Long-term Relationship,Yes,High School,Doctor,87,Daily
150,31,Female,5.517650141699458,"['Sports', 'Reading', 'Cooking', 'Travel', 'Movies', 'Hiking']",Long-term Relationship,Yes,Ph.D.,Artist,91,Weekly
151,19,Female,6.026655003868983,"['Movies', 'Cooking', 'Hiking', 'Reading', 'Travel', 'Sports', 'Music']",Friendship,Maybe,Master's Degree,Teacher,65,Weekly
152,18,Male,4.9693611112584835,"['Travel', 'Cooking', 'Movies']",Casual Dating,Maybe,Master's Degree,Engineer,90,Weekly
153,25,Male,6.016852765939112,['Cooking'],Marriage,No,Bachelor's Degree,Artist,66,Monthly
154,34,Male,5.429590843917845,['Hiking'],Long-term Relationship,Maybe,Master's Degree,Social Media Influencer,92,Daily
155,33,Female,5.170362689383212,"['Travel', 'Hiking', 'Reading', 'Cooking']",Casual Dating,Maybe,High School,Artist,54,Weekly
156,33,Female,4.825390642993108,"['Travel', 'Movies']",Long-term Relationship,No,High School,Artist,62,Daily
157,25,Male,6.044497033372401,"['Music', 'Movies', 'Cooking', 'Travel']",Long-term Relationship,Yes,Bachelor's Degree,Student,1,Daily
158,21,Female,6.071489189277642,"['Travel', 'Reading', 'Music']",Long-term Relationship,Yes,High School,Business Owner,78,Monthly
159,21,Male,5.97251293846924,"['Reading', 'Cooking', 'Music', 'Travel', 'Hiking', 'Movies', 'Sports']",Friendship,Yes,High School,Entrepreneur,42,Daily
160,29,Female,6.062014427379368,"['Hiking', 'Reading', 'Sports', 'Music', 'Travel']",Casual Dating,Yes,Bachelor's Degree,Doctor,74,Daily
161,27,Male,5.734964561413985,"['Travel', 'Music', 'Cooking', 'Movies', 'Sports', 'Reading']",Casual Dating,Yes,Master's Degree,Business Owner,56,Monthly
162,32,Male,5.8959554815979445,"['Movies', 'Cooking', 'Music', 'Reading', 'Hiking', 'Sports', 'Travel']",Marriage,Maybe,Master's Degree,Entrepreneur,85,Daily
163,20,Female,5.536534872948992,"['Hiking', 'Music', 'Travel', 'Cooking']",Friendship,Maybe,High School,Doctor,25,Monthly
164,27,Female,5.594635332586019,"['Music', 'Travel', 'Cooking', 'Movies', 'Sports']",Friendship,Yes,Bachelor's Degree,Artist,45,Daily
165,30,Male,5.934433089335576,['Music'],Marriage,Yes,High School,Entrepreneur,39,Monthly
166,23,Male,6.00088674525844,"['Cooking', 'Music', 'Sports', 'Movies', 'Travel']",Long-term Relationship,Maybe,Ph.D.,Doctor,47,Weekly
167,28,Female,6.036337320283338,"['Sports', 'Reading', 'Travel', 'Cooking', 'Hiking', 'Music']",Long-term Relationship,Yes,Master's Degree,Artist,74,Daily
168,20,Female,5.205239520495352,"['Cooking', 'Sports', 'Music', 'Reading', 'Travel', 'Hiking', 'Movies']",Casual Dating,No,High School,Social Media Influencer,58,Daily
169,18,Female,5.999321282949007,['Sports'],Marriage,Maybe,Ph.D.,Engineer,91,Daily
170,18,Female,5.044729223570743,"['Music', 'Movies', 'Sports', 'Reading', 'Cooking', 'Hiking', 'Travel']",Friendship,Yes,Master's Degree,Artist,12,Daily
171,24,Male,5.984331188593943,['Movies'],Long-term Relationship,Maybe,Ph.D.,Engineer,66,Daily
172,22,Male,5.090359398313469,"['Sports', 'Reading', 'Movies', 'Hiking', 'Travel', 'Cooking']",Friendship,Yes,Bachelor's Degree,Business Owner,7,Weekly
173,22,Female,5.563129063653523,"['Reading', 'Music', 'Travel', 'Movies', 'Sports']",Long-term Relationship,Yes,Master's Degree,Student,26,Monthly
174,21,Male,5.83348042992615,"['Hiking', 'Music', 'Cooking', 'Sports']",Marriage,No,Master's Degree,Entrepreneur,33,Daily
175,25,Female,5.230155178591923,"['Sports', 'Music', 'Travel', 'Hiking', 'Movies', 'Reading', 'Cooking']",Casual Dating,Yes,Bachelor's Degree,Artist,58,Monthly
176,26,Female,5.461762948299695,"['Movies', 'Cooking', 'Sports', 'Reading', 'Hiking', 'Music']",Friendship,No,Master's Degree,Artist,43,Daily
177,26,Female,5.304072430273165,"['Reading', 'Movies', 'Cooking', 'Travel', 'Hiking', 'Music', 'Sports']",Long-term Relationship,Yes,High School,Doctor,13,Weekly
178,28,Female,5.602235496358825,"['Hiking', 'Sports', 'Cooking', 'Music', 'Movies', 'Travel', 'Reading']",Casual Dating,Maybe,High School,Social Media Influencer,89,Weekly
179,32,Male,4.932971095889953,['Hiking'],Long-term Relationship,No,High School,Entrepreneur,1,Daily
180,31,Male,5.910313085577794,"['Music', 'Cooking', 'Travel']",Casual Dating,Maybe,Bachelor's Degree,Teacher,84,Weekly
181,25,Male,5.956136949479735,"['Sports', 'Music', 'Hiking', 'Travel', 'Cooking', 'Movies', 'Reading']",Casual Dating,Maybe,Ph.D.,Entrepreneur,34,Monthly
182,30,Female,5.209967346853675,"['Music', 'Sports', 'Movies', 'Travel']",Marriage,Yes,High School,Student,24,Daily
183,23,Female,5.307234389771249,"['Movies', 'Sports', 'Reading', 'Travel', 'Hiking', 'Music', 'Cooking']",Casual Dating,Yes,High School,Teacher,31,Daily
184,32,Female,5.435011889559503,"['Hiking', 'Travel']",Marriage,Yes,High School,Artist,78,Monthly
185,35,Male,5.547673802083528,"['Music', 'Hiking', 'Reading', 'Sports', 'Cooking', 'Travel']",Casual Dating,No,Bachelor's Degree,Engineer,40,Daily
186,27,Female,5.153931404643159,"['Hiking', 'Music', 'Travel', 'Reading']",Casual Dating,Maybe,Bachelor's Degree,Engineer,83,Monthly
187,30,Male,5.552414680221733,"['Movies', 'Cooking', 'Hiking', 'Travel', 'Music', 'Reading']",Long-term Relationship,No,Ph.D.,Entrepreneur,33,Daily
188,29,Male,5.781458502280014,['Reading'],Casual Dating,No,Ph.D.,Student,28,Monthly
189,34,Male,5.399002094196247,"['Movies', 'Cooking', 'Sports', 'Music', 'Hiking', 'Reading', 'Travel']",Marriage,No,Master's Degree,Social Media Influencer,96,Daily
190,26,Male,5.315490467378796,"['Hiking', 'Music', 'Cooking', 'Reading', 'Sports', 'Movies', 'Travel']",Casual Dating,No,Master's Degree,Engineer,17,Monthly
191,21,Female,5.964925173676047,['Movies'],Long-term Relationship,No,Ph.D.,Artist,23,Weekly
192,29,Male,4.861214966562685,"['Sports', 'Movies']",Friendship,No,Ph.D.,Engineer,8,Monthly
193,24,Female,5.757162264325183,['Movies'],Long-term Relationship,No,Bachelor's Degree,Teacher,5,Daily
194,30,Female,5.1753753547012264,['Movies'],Marriage,Maybe,Master's Degree,Entrepreneur,24,Weekly
195,31,Male,5.878424440580842,"['Travel', 'Reading', 'Sports', 'Cooking', 'Music']",Casual Dating,Maybe,High School,Engineer,5,Weekly
196,31,Male,5.918040614214112,"['Reading', 'Movies', 'Hiking', 'Sports', 'Travel']",Casual Dating,No,Master's Degree,Doctor,67,Monthly
