_id,Sl No,State,PC_Name,Total Electors,Polled (%),Total Votes,Phase
34,34,Rajasthan,ALWAR,2059888,60.07,1237446,1
35,35,Rajasthan,BHARATPUR,2114916,52.8,1116742,1
36,36,Rajasthan,BIKANER,2048399,54.11,1108418,1
37,37,Rajasthan,CHURU,2213187,63.61,1407716,1
38,38,Rajasthan,DAUSA,1899304,55.72,1058386,1
39,39,Rajasthan,GANGANAGAR,2102002,66.59,1399688,1
40,40,Rajasthan,JAIPUR,2287350,63.38,1449612,1
41,41,Rajasthan,JAIPUR RURAL,2184978,56.7,1238818,1
42,42,Rajasthan,JHUNJHUNU,2068540,52.93,1094900,1
43,43,Rajasthan,KARAULI-DHOLPUR,1975352,49.59,979618,1
44,44,Rajasthan,NAGAUR,2146725,57.23,1228494,1
45,45,Rajasthan,SIKAR,2214900,57.53,1274270,1
46,46,Sikkim,Sikkim,464140,79.88,370765,1
47,47,Tamil Nadu,ARAKKONAM,1562871,74.19,1159441,1
48,48,Tamil Nadu,ARANI,1496118,75.76,1133520,1
49,49,Tamil Nadu,CHENNAI CENTRAL,1350161,53.96,728614,1
50,50,Tamil Nadu,CHENNAI NORTH,1496224,60.11,899367,1
51,51,Tamil Nadu,CHENNAI SOUTH,2023133,54.17,1096026,1
52,52,Tamil Nadu,CHIDAMBARAM,1519847,76.37,1160762,1
53,53,Tamil Nadu,COIMBATORE,2106124,64.89,1366597,1
54,54,Tamil Nadu,CUDDALORE,1412746,72.57,1025298,1
55,55,Tamil Nadu,DHARMAPURI,1524896,81.2,1238184,1
56,56,Tamil Nadu,DINDIGUL,1607051,71.14,1143196,1
57,57,Tamil Nadu,ERODE,1538778,70.59,1086287,1
58,58,Tamil Nadu,KALLAKURICHI,1568681,79.21,1242597,1
59,59,Tamil Nadu,KANCHEEPURAM,1748866,71.68,1253582,1
60,60,Tamil Nadu,KANNIYAKUMARI,1557915,65.44,1019532,1
61,61,Tamil Nadu,KARUR,1429790,78.7,1125241,1
62,62,Tamil Nadu,KRISHNAGIRI,1623179,71.5,1160498,1
63,63,Tamil Nadu,MADURAI,1582271,62.04,981650,1
64,64,Tamil Nadu,MAYILADUTHURAI,1545568,70.09,1083243,1
65,65,Tamil Nadu,NAGAPATTINAM,1345120,71.94,967694,1
66,66,Tamil Nadu,NAMAKKAL,1452562,78.21,1136069,1
67,67,Tamil Nadu,NILGIRIS,1428387,70.95,1013410,1
68,68,Tamil Nadu,PERAMBALUR,1446352,77.43,1119881,1
69,69,Tamil Nadu,POLLACHI,1597467,70.41,1124743,1
70,70,Tamil Nadu,RAMANATHAPURAM,1617688,68.19,1103036,1
71,71,Tamil Nadu,SALEM,1658681,78.16,1296481,1
72,72,Tamil Nadu,SIVAGANGA,1633857,64.26,1049887,1
73,73,Tamil Nadu,SRIPERUMBUDUR,2382119,60.25,1435243,1
74,74,Tamil Nadu,TENKASI,1525439,67.65,1031961,1
75,75,Tamil Nadu,THANJAVUR,1501226,68.27,1024949,1
76,76,Tamil Nadu,THENI,1622949,69.84,1133513,1
77,77,Tamil Nadu,THOOTHUKKUDI,1458430,66.88,975468,1
78,78,Tamil Nadu,TIRUCHIRAPPALLI,1553985,67.51,1049093,1
79,79,Tamil Nadu,TIRUNELVELI,1654503,64.1,1060461,1
80,80,Tamil Nadu,TIRUPPUR,1608521,70.62,1135998,1
81,81,Tamil Nadu,TIRUVALLUR,2085991,68.59,1430738,1
82,82,Tamil Nadu,TIRUVANNAMALAI,1533099,74.24,1138102,1
83,83,Tamil Nadu,VELLORE,1528273,73.53,1123715,1
84,84,Tamil Nadu,VILUPPURAM,1503115,76.52,1150164,1
85,85,Tamil Nadu,VIRUDHUNAGAR,1501942,70.22,1054634,1
86,86,Tripura,Tripura West,1463526,81.48,1192435,1
87,87,Uttar Pradesh,Bijnor,1738307,58.73,1020947,1
88,88,Uttar Pradesh,Kairana,1722432,62.46,1075839,1
89,89,Uttar Pradesh,Moradabad,2059578,62.18,1280706,1
90,90,Uttar Pradesh,Muzaffarnagar,1817472,59.13,1074608,1
91,91,Uttar Pradesh,Nagina,1644909,60.75,999203,1
92,92,Uttar Pradesh,Pilibhit,1831699,63.11,1155917,1
93,93,Uttar Pradesh,Rampur,1731836,55.85,967200,1
94,94,Uttar Pradesh,Saharanpur,1855310,66.14,1227083,1
95,95,Uttarakhand,Almora,1339327,48.74,652726,1
96,96,Uttarakhand,Garhwal,1369388,52.42,717834,1
97,97,Uttarakhand,Haridwar,2035726,63.53,1293362,1
98,98,Uttarakhand,Nainital-Udhamsingh Nagar,2015809,62.47,1259180,1
99,99,Uttarakhand,Tehri Garhwal,1577664,53.76,848186,1
100,100,West Bengal,Alipurduars,1773252,79.76,1414258,1
101,101,West Bengal,Coochbehar,1966893,82.16,1616079,1
102,102,West Bengal,Jalpaiguri,1885963,83.66,1577828,1
103,,"",Phase 1 Total,166386344,66.14,110052103,1
104,1,Assam,Darrang-Udalguri,2209314,82.01,1811764,2
105,2,Assam,Diphu,901032,75.74,682441,2
106,3,Assam,Karimganj,1412148,80.48,1136538,2
107,4,Assam,Nagaon,1817204,84.97,1544081,2
108,5,Assam,Silchar,1369578,79.05,1082616,2
109,6,Bihar,Banka,1856566,54.48,1011513,2
110,7,Bihar,Bhagalpur,1983031,53.5,1060982,2
111,8,Bihar,Katihar,1833009,63.76,1168752,2
112,9,Bihar,Kishanganj,1829994,62.84,1149988,2
113,10,Bihar,Purnia,1893698,63.08,1194484,2
114,11,Chhattisgarh,KANKER,1654440,76.23,1261103,2
115,12,Chhattisgarh,MAHASAMUND,1762477,75.02,1322125,2
116,13,Chhattisgarh,RAJNANDGAON,1868021,77.42,1446247,2
117,14,Jammu and Kashmir,JAMMU,1780835,72.22,1286144,2
118,15,Karnataka,Bangalore central,2433751,54.06,1315612,2
119,16,Karnataka,Bangalore North,3214496,54.45,1750372,2
120,17,Karnataka,Bangalore Rural,2802580,68.3,1914030,2
121,18,Karnataka,Bangalore South,2341759,53.17,1245168,2
122,19,Karnataka,Chamarajanagar,1778310,76.82,1366015,2
123,20,Karnataka,Chikkballapur,1981347,77,1525718,2
124,21,Karnataka,Chitradurga,1856876,73.3,1361031,2
125,22,Karnataka,Dakshina Kannada,1817603,77.56,1409653,2
126,23,Karnataka,Hassan,1736610,77.68,1348966,2
127,24,Karnataka,Kolar,1726914,78.27,1351646,2
128,25,Karnataka,Mandya,1779243,81.67,1453060,2
129,26,Karnataka,Mysore,2092222,70.62,1477576,2
130,27,Karnataka,Tumkur,1661309,78.05,1296720,2
131,28,Karnataka,Udupi Chikmagalur,1585162,77.15,1222888,2
132,29,Kerala,Alappuzha,1400082,75.05,1050726,2
133,30,Kerala,Alathur,1337496,73.42,981945,2
134,31,Kerala,Attingal,1396807,69.48,970517,2
135,32,Kerala,Chalakudy,1310529,71.94,942787,2
136,33,Kerala,Ernakulam,1324047,68.29,904131,2
137,34,Kerala,Idukki,1250157,66.55,831936,2
138,35,Kerala,Kannur,1358368,77.21,1048839,2
139,36,Kerala,Kasaragod,1452230,76.04,1104331,2
140,37,Kerala,Kollam,1326648,68.15,904047,2
141,38,Kerala,Kottayam,1254823,65.61,823237,2
142,39,Kerala,Kozhikode,1429631,75.52,1079683,2
143,40,Kerala,Malappuram,1479921,72.95,1079547,2
144,41,Kerala,Mavelikkara,1331880,65.95,878360,2
145,42,Kerala,Palakkad,1398143,73.57,1028627,2
146,43,Kerala,Pathanamthitta,1429700,63.37,906051,2
147,44,Kerala,Ponnani,1470804,69.34,1019889,2
148,45,Kerala,Thiruvananthapuram,1430531,66.47,950829,2
149,46,Kerala,Thrissur,1483055,72.9,1081125,2
150,47,Kerala,Vadakara,1421883,78.41,1114950,2
151,48,Kerala,Wayanad,1462423,73.57,1075921,2
152,49,Madhya Pradesh,DAMOH,1925314,56.48,1087455,2
153,50,Madhya Pradesh,HOSHANGABAD,1855692,67.21,1247298,2
154,51,Madhya Pradesh,KHAJURAHO,1997483,56.97,1137867,2
155,52,Madhya Pradesh,REWA,1852126,49.43,915444,2
156,53,Madhya Pradesh,SATNA,1705260,61.94,1056175,2
157,54,Madhya Pradesh,TIKAMGARH,1826585,60,1096023,2
158,55,Maharashtra,Akola,1890814,61.79,1168366,2
159,56,Maharashtra,Amravati,1836078,63.67,1169121,2
160,57,Maharashtra,Buldhana,1782700,62.03,1105761,2
161,58,Maharashtra,Hingoli,1817734,63.54,1154958,2
162,59,Maharashtra,Nanded,1851843,60.94,1128564,2
163,60,Maharashtra,Parbhani,2123056,62.26,1321868,2
164,61,Maharashtra,Wardha,1682771,64.85,1091351,2
165,62,Maharashtra,Yavatmal- Washim,1940916,62.87,1220189,2
166,63,Manipur,Outer Manipur,484949,85.11,412737,2
167,64,Rajasthan,AJMER,1995699,59.66,1190561,2
168,65,Rajasthan,BANSWARA,2200438,73.88,1625731,2
169,66,Rajasthan,BARMER,2206237,75.93,1675276,2
170,67,Rajasthan,BHILWARA,2147159,60.37,1296228,2
171,68,Rajasthan,CHITTORGARH,2170167,68.61,1488898,2
172,69,Rajasthan,JALORE,2297328,62.89,1444866,2
173,70,Rajasthan,JHALAWAR-BARAN,2030525,69.71,1415420,2
174,71,Rajasthan,JODHPUR,2132713,64.27,1370616,2
175,72,Rajasthan,KOTA,2088023,71.26,1487879,2
176,73,Rajasthan,PALI,2343232,57.19,1339989,2
177,74,Rajasthan,RAJSAMAND,2060942,58.39,1203299,2
178,75,Rajasthan,TONK-SAWAI MADHOPUR,2148128,56.58,1215309,2
179,76,Rajasthan,UDAIPUR,2230971,66.66,1487268,2
180,77,Tripura,Tripura East,1396761,80.36,1122424,2
181,78,Uttar Pradesh,Aligarh,1997234,56.93,1137051,2
182,79,Uttar Pradesh,Amroha,1716641,64.58,1108579,2
183,80,Uttar Pradesh,Baghpat,1653146,56.16,928392,2
184,81,Uttar Pradesh,Bulandshahr,1859462,56.42,1049189,2
185,82,Uttar Pradesh,Gautam Buddha Nagar,2675148,53.63,1434667,2
186,83,Uttar Pradesh,Ghaziabad,2945487,49.88,1469260,2
187,84,Uttar Pradesh,Mathura,1929550,49.41,953388,2
188,85,Uttar Pradesh,Meerut,2000530,58.94,1179121,2
189,86,West Bengal,Balurghat,1561966,79.09,1235347,2
190,87,West Bengal,Darjeeling,1765744,74.76,1320072,2
191,88,West Bengal,Raiganj,1790245,76.18,1363854,2
192,,"",Phase 2 Total,158645484,66.71,105830572,2
193,1,Assam,Barpeta,1966847,85.24,1676633,3
194,2,Assam,Dhubri,2660827,92.08,2450041,3
195,3,Assam,Guwahati,2036846,78.39,1596664,3
196,4,Assam,Kokrajhar,1484571,83.55,1240306,3
197,5,Bihar,Araria,2018767,61.93,1250261,3
198,6,Bihar,Jhanjharpur,2003040,54.48,1091258,3
199,7,Bihar,Khagaria,1840217,57.52,1058539,3
200,8,Bihar,Madhepura,2071166,58.29,1207368,3
201,9,Bihar,Supaul,1927207,63.55,1224821,3
202,10,Chhattisgarh,BILASPUR,2102687,64.77,1361871,3
203,11,Chhattisgarh,DURG,2090414,73.68,1540193,3
204,12,Chhattisgarh,JANJGIR-CHAMPA,2056047,67.56,1389012,3
205,13,Chhattisgarh,KORBA,1618864,75.63,1224268,3
206,14,Chhattisgarh,RAIGARH,1838547,78.85,1449673,3
207,15,Chhattisgarh,RAIPUR,2375379,66.82,1587116,3
208,16,Chhattisgarh,SURGUJA,1819347,79.89,1453444,3
209,17,"Dadra & Nagar Haveli and
Daman & Diu",Dadar & Nagar Haveli,283024,72.52,205248,3
210,18,"Dadra & Nagar Haveli and
Daman & Diu",Daman & Diu,134189,68.77,92279,3
211,19,Goa,North Goa,580577,77.69,451042,3
212,20,Goa,South Goa,598767,74.47,445916,3
213,21,Gujarat,Ahmedabad East,2038162,54.72,1115317,3
214,22,Gujarat,Ahmedabad West,1726987,55.45,957573,3
215,23,Gujarat,Amreli,1732810,50.29,871373,3
216,24,Gujarat,Anand,1780182,65.04,1157763,3
217,25,Gujarat,Banaskantha,1961924,69.62,1365989,3
218,26,Gujarat,Bardoli,2048408,64.81,1327669,3
219,27,Gujarat,Bharuch,1723353,69.16,1191877,3
220,28,Gujarat,Bhavnagar,1916900,53.92,1033629,3
221,29,Gujarat,Chhota Udaipur,1821708,69.15,1259760,3
222,30,Gujarat,Dahod,1875136,59.31,1112211,3
223,31,Gujarat,Gandhinagar,2182736,59.8,1305197,3
224,32,Gujarat,Jamnagar,1817864,57.67,1048410,3
225,33,Gujarat,Junagadh,1795110,58.91,1057462,3
226,34,Gujarat,Kachchh,1943136,56.14,1090878,3
227,35,Gujarat,Kheda,2007404,58.12,1166619,3
228,36,Gujarat,Mahesana,1770617,59.86,1059938,3
229,37,Gujarat,Navsari,2223550,59.66,1326542,3
230,38,Gujarat,Panchmahal,1896743,58.85,1116171,3
231,39,Gujarat,Patan,2019916,58.56,1182950,3
232,40,Gujarat,Porbandar,1768212,51.83,916519,3
233,41,Gujarat,Rajkot,2112273,59.69,1260768,3
234,42,Gujarat,Sabarkantha,1976349,63.56,1256210,3
235,43,Gujarat,Surendranagar,2033419,55.09,1120128,3
236,44,Gujarat,Vadodara,1949573,61.59,1200768,3
237,45,Gujarat,Valsad,1859974,72.71,1352413,3
238,46,Karnataka,Bagalkot,1806183,72.66,1312319,3
239,47,Karnataka,Belgaum,1923788,71.49,1375283,3
240,48,Karnataka,Bellary,1884040,73.59,1386553,3
241,49,Karnataka,Bidar,1892962,65.47,1239358,3
242,50,Karnataka,Bijapur,1946090,66.32,1290719,3
243,51,Karnataka,Chikkodi,1761694,78.66,1385688,3
244,52,Karnataka,Davanagere,1709244,76.99,1315916,3
245,53,Karnataka,Dharwad,1831975,74.37,1362421,3
246,54,Karnataka,Gulbarga,2098202,62.25,1306119,3
247,55,Karnataka,Haveri,1792774,77.6,1391214,3
248,56,Karnataka,Koppal,1866397,70.99,1324898,3
249,57,Karnataka,Raichur,2010103,64.66,1299806,3
250,58,Karnataka,Shimoga,1752885,78.33,1372949,3
251,59,Karnataka,Uttara Kannada,1641156,76.53,1256027,3
252,60,Madhya Pradesh,BETUL,1895331,73.53,1393608,3
253,61,Madhya Pradesh,BHIND,1900654,54.93,1044022,3
254,62,Madhya Pradesh,BHOPAL,2339411,64.06,1498626,3
255,63,Madhya Pradesh,GUNA,1889551,72.43,1368554,3
256,64,Madhya Pradesh,GWALIOR,2154601,62.13,1338708,3
257,65,Madhya Pradesh,MORENA,2006730,58.97,1183282,3
258,66,Madhya Pradesh,RAJGARH,1875211,76.04,1425911,3
259,67,Madhya Pradesh,SAGAR,1745690,65.75,1147866,3
260,68,Madhya Pradesh,VIDISHA,1945404,74.48,1449010,3
261,69,Maharashtra,Baramati,2372668,59.5,1411621,3
262,70,Maharashtra,Hatkanangale,1814277,71.11,1290073,3
263,71,Maharashtra,Kolhapur,1936403,71.59,1386230,3
264,72,Maharashtra,Latur,1977042,62.59,1237355,3
265,73,Maharashtra,Madha,1991454,63.65,1267530,3
266,74,Maharashtra,Osmanabad,1992737,63.88,1272969,3
267,75,Maharashtra,Raigad,1668372,60.51,1009567,3
268,76,Maharashtra,Ratnagiri-Sindhudurg,1451630,62.52,907618,3
269,77,Maharashtra,Sangli,1868174,62.27,1163353,3
270,78,Maharashtra,Satara,1889740,63.16,1193492,3
271,79,Maharashtra,Solapur,2030119,59.19,1201586,3
272,80,Uttar Pradesh,Agra,2072685,54.08,1120864,3
273,81,Uttar Pradesh,Aonla,1891713,57.44,1086687,3
274,82,Uttar Pradesh,Badaun,2008758,54.35,1091697,3
275,83,Uttar Pradesh,Bareilly,1924434,58.03,1116749,3
276,84,Uttar Pradesh,Etah,1700524,59.31,1008533,3
277,85,Uttar Pradesh,Fatehpur Sikri,1798823,57.19,1028791,3
278,86,Uttar Pradesh,Firozabad,1890772,58.53,1106747,3
279,87,Uttar Pradesh,Hathras,1938080,55.71,1079731,3
280,88,Uttar Pradesh,Mainpuri,1790797,58.73,1051758,3
281,89,Uttar Pradesh,Sambhal,1898202,62.91,1194209,3
282,90,West Bengal,Jangipur,1805360,75.72,1367014,3
283,91,West Bengal,Maldaha Dakshin,1782159,76.69,1366728,3
284,92,West Bengal,Maldaha Uttar,1862035,76.03,1415718,3
285,93,West Bengal,Murshidabad,1888097,81.52,1539112,3
286,,"",Phase 3 Total,172404907,65.68,113234676,3
287,1,Andhra Pradesh,Amalapuram (SC),1531410,83.85,1284018,4
288,2,Andhra Pradesh,Anakapalle,1596916,82.03,1309977,4
289,3,Andhra Pradesh,Ananthapur,1767591,80.51,1423108,4
290,4,Andhra Pradesh,Araku (ST),1554633,73.68,1145426,4
291,5,Andhra Pradesh,Bapatla (SC),1506354,85.48,1287704,4
292,6,Andhra Pradesh,Chittoor(SC),1640202,85.77,1406880,4
293,7,Andhra Pradesh,Eluru,1637430,83.68,1370153,4
294,8,Andhra Pradesh,Guntur,1791543,78.81,1411989,4
295,9,Andhra Pradesh,Hindupur,1656775,84.7,1403259,4
296,10,Andhra Pradesh,Kadapa,1639066,79.57,1304256,4
297,11,Andhra Pradesh,Kakinada,1634122,80.3,1312255,4
298,12,Andhra Pradesh,Kurnoolu,1722857,76.8,1323071,4
299,13,Andhra Pradesh,Machilipatnam,1539460,84.05,1293935,4
300,14,Andhra Pradesh,Nandyal,1721013,80.61,1387367,4
301,15,Andhra Pradesh,Narsapuram,1472923,82.59,1216550,4
302,16,Andhra Pradesh,Narsaraopet,1734858,85.65,1485909,4
303,17,Andhra Pradesh,Nellore,1712274,79.05,1353563,4
304,18,Andhra Pradesh,Ongole,1607832,87.06,1399707,4
305,19,Andhra Pradesh,Rajahmundry,1623149,80.93,1313630,4
306,20,Andhra Pradesh,Rajampet,1665702,79.09,1317448,4
307,21,Andhra Pradesh,Srikakulam,1631174,74.43,1214128,4
308,22,Andhra Pradesh,Thirupathi(SC),1729832,79.1,1368362,4
309,23,Andhra Pradesh,Vijayawada,1704077,79.37,1352495,4
310,24,Andhra Pradesh,Visakhapatnam,1927303,71.11,1370484,4
311,25,Andhra Pradesh,Vizianagaram,1585206,81.05,1284886,4
312,26,Bihar,Begusarai,2196089,58.7,1289076,4
313,27,Bihar,Darbhanga,1781356,57.37,1021962,4
314,28,Bihar,Munger,2042279,55.55,1134548,4
315,29,Bihar,Samastipur,1818530,60.11,1093182,4
316,30,Bihar,Ujiarpur,1745408,59.59,1040026,4
317,31,Jammu and Kashmir,SRINAGAR,1747810,38.49,672653,4
318,32,Jharkhand,Khunti,1326138,69.93,927422,4
319,33,Jharkhand,Lohardaga,1441302,66.45,957690,4
320,34,Jharkhand,Palamau,2243034,61.27,1374358,4
321,35,Jharkhand,Singhbhum,1447562,69.32,1003482,4
322,36,Madhya Pradesh,DEWAS,1940472,75.48,1464690,4
323,37,Madhya Pradesh,DHAR,1953834,72.76,1421585,4
324,38,Madhya Pradesh,INDORE,2526803,61.67,1558341,4
325,39,Madhya Pradesh,KHANDWA,2112203,71.52,1510588,4
326,40,Madhya Pradesh,KHARGONE,2046030,76.03,1555585,4
327,41,Madhya Pradesh,MANDSOUR,1898060,75.27,1428623,4
328,42,Madhya Pradesh,RATLAM,2094548,72.94,1527828,4
329,43,Madhya Pradesh,UJJAIN,1798704,73.82,1327715,4
330,44,Maharashtra,Ahmednagar,1981866,66.61,1320168,4
331,45,Maharashtra,Aurangabad,2059710,63.03,1298227,4
332,46,Maharashtra,Beed,2142547,70.92,1519526,4
333,47,Maharashtra,Jalgaon,1994046,58.47,1165968,4
334,48,Maharashtra,Jalna,1967574,69.18,1361226,4
335,49,Maharashtra,Maval,2585018,54.87,1418439,4
336,50,Maharashtra,Nandurbar,1970327,70.68,1392635,4
337,51,Maharashtra,Pune,2061276,53.54,1103678,4
338,52,Maharashtra,Raver,1821750,64.28,1170944,4
339,53,Maharashtra,Shirdi,1677335,63.03,1057298,4
340,54,Maharashtra,Shirur,2539702,54.16,1375593,4
341,55,Odisha,Berhampur,1591380,65.41,1040924,4
342,56,Odisha,Kalahandi,1700780,77.9,1324936,4
343,57,Odisha,Koraput,1480922,77.53,1148182,4
344,58,Odisha,Nabarangpur,1514140,82.16,1243957,4
345,59,Telangana,Adilabad,1650175,74.03,1221553,4
346,60,Telangana,Bhongir,1808585,76.78,1388680,4
347,61,Telangana,Chevella,2938370,56.4,1657107,4
348,62,Telangana,Hyderabad,2217094,48.48,1074827,4
349,63,Telangana,Karimnagar,1797150,72.54,1303690,4
350,64,Telangana,Khammam,1631039,76.09,1241135,4
351,65,Telangana,Mahabubabad,1532366,71.85,1101030,4
352,66,Telangana,Mahbubnagar,1682470,72.43,1218587,4
353,67,Telangana,Malkajgiri,3779596,50.78,1919131,4
354,68,Telangana,Medak,1828210,75.09,1372894,4
355,69,Telangana,Nagarkurnool,1738254,69.46,1207470,4
356,70,Telangana,Nalgonda,1725465,74.02,1277137,4
357,71,Telangana,Nizamabad,1704867,71.92,1226133,4
358,72,Telangana,Peddapalle,1596430,67.87,1083467,4
359,73,Telangana,Secunderabad,2120401,49.04,1039834,4
360,74,Telangana,Warangal,1824466,68.86,1256301,4
361,75,Telangana,Zahirabad,1641410,74.63,1225049,4
362,76,Uttar Pradesh,Akbarpur,1869167,57.78,1079978,4
363,77,Uttar Pradesh,Baharaich,1838684,57.42,1055818,4
364,78,Uttar Pradesh,Dhaurahra,1719345,64.54,1109680,4
365,79,Uttar Pradesh,Etawah,1828498,56.36,1030554,4
366,80,Uttar Pradesh,Farrukhabad,1747182,59.08,1032244,4
367,81,Uttar Pradesh,Hardoi,1910485,57.52,1098820,4
368,82,Uttar Pradesh,Kannauj,1988925,61.08,1214886,4
369,83,Uttar Pradesh,Kanpur,1662859,53.05,882074,4
370,84,Uttar Pradesh,Kheri,1870170,64.68,1209621,4
371,85,Uttar Pradesh,Misrikh,1878195,55.89,1049630,4
372,86,Uttar Pradesh,Shahjahanpur,2331834,53.36,1244364,4
373,87,Uttar Pradesh,Sitapur,1759943,62.54,1100741,4
374,88,Uttar Pradesh,Unnao,2341740,55.46,1298677,4
375,89,West Bengal,Asansol,1770281,73.27,1297096,4
376,90,West Bengal,Baharampur,1783078,77.54,1382678,4
377,91,West Bengal,Bardhaman Purba,1801333,82.85,1492453,4
378,92,West Bengal,Bardhaman-Durgapur,1851780,80.72,1494778,4
379,93,West Bengal,Birbhum,1857022,81.91,1521023,4
380,94,West Bengal,Bolpur,1839234,82.66,1520401,4
381,95,West Bengal,Krishnanagar,1755631,80.65,1415859,4
382,96,West Bengal,Ranaghat,1871658,81.87,1532304,4
383,,"",Phase 3 Total,177075629,69.16,122469319,4
384,1,Bihar,Hajipur,1967094,58.43,1149406,5
385,2,Bihar,Madhubani,1934980,53.04,1026408,5
386,3,Bihar,Muzaffarpur,1866106,59.47,1109688,5
387,4,Bihar,Saran,1795010,56.73,1018366,5
388,5,Bihar,Sitamarhi,1947996,56.21,1094885,5
389,6,Jammu and Kashmir,BARAMULLA,1737865,59.1,1027084,5
390,7,Jharkhand,Chatra,1689926,63.69,1076352,5
391,8,Jharkhand,Hazaribagh,1939374,64.39,1248798,5
392,9,Jharkhand,Kodarma,2205318,61.81,1363010,5
393,10,Ladakh,Ladakh,184808,71.82,132727,5
394,11,Maharashtra,Bhiwandi,2087244,59.89,1250090,5
395,12,Maharashtra,Dhule,2022061,60.21,1217523,5
396,13,Maharashtra,Dindori,1853387,66.75,1237180,5
397,14,Maharashtra,Kalyan,2082221,50.12,1043610,5
398,15,Maharashtra,Mumbai North,1811942,57.02,1033241,5
399,16,Maharashtra,Mumbai North Central,1744128,51.98,906530,5
400,17,Maharashtra,Mumbai North East,1636890,56.37,922760,5
401,18,Maharashtra,Mumbai North West,1735088,54.84,951580,5
402,19,Maharashtra,Mumbai South,1536168,50.06,769010,5
403,20,Maharashtra,Mumbai South Central,1474405,53.6,790339,5
404,21,Maharashtra,Nashik,2030124,60.75,1233379,5
405,22,Maharashtra,Palghar,2148514,63.91,1373162,5
406,23,Maharashtra,Thane,2507372,52.09,1306194,5
407,24,Odisha,Aska,1620974,62.67,1015883,5
408,25,Odisha,Bargarh,1631974,79.78,1302069,5
409,26,Odisha,Bolangir,1801744,77.52,1396719,5
410,27,Odisha,Kandhamal,1339090,74.16,993091,5
411,28,Odisha,Sundargarh,1576105,73.02,1150875,5
412,29,Uttar Pradesh,Amethi,1796098,54.34,976053,5
413,30,Uttar Pradesh,Banda,1747425,59.7,1043256,5
414,31,Uttar Pradesh,Barabanki,1918491,67.2,1289258,5
415,32,Uttar Pradesh,Faizabad,1927459,59.14,1139882,5
416,33,Uttar Pradesh,Fatehpur,1938563,57.09,1106690,5
417,34,Uttar Pradesh,Gonda,1843121,51.62,951394,5
418,35,Uttar Pradesh,Hamirpur,1839761,60.6,1114874,5
419,36,Uttar Pradesh,Jalaun,2006161,56.18,1127112,5
420,37,Uttar Pradesh,Jhansi,2161221,63.86,1380214,5
421,38,Uttar Pradesh,Kaiserganj,1904726,55.68,1060576,5
422,39,Uttar Pradesh,Kaushambi,1909620,52.8,1008255,5
423,40,Uttar Pradesh,Lucknow,2172171,52.28,1135624,5
424,41,Uttar Pradesh,Mohanlalganj,2187232,62.88,1375372,5
425,42,Uttar Pradesh,Rae Bareli,1784314,58.12,1036997,5
426,43,West Bengal,Arambagh,1883266,82.62,1555882,5
427,44,West Bengal,Bangaon,1836374,81.04,1488209,5
428,45,West Bengal,Barrackpur,1508728,75.41,1137763,5
429,46,West Bengal,Hooghly,1858067,81.38,1512060,5
430,47,West Bengal,Howrah,1769184,71.73,1269079,5
431,48,West Bengal,Srerampur,1926645,76.44,1472793,5
