Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
313596615444842,Nationalist Congress Party - Sharadchandra Pawar,Nationalist Congress Party - Sharadchandra Pawar,1498126,242
171815276009114,Nabin Odisha,Nabin Odisha,1496728,1131
229008700302978,Praja Theerpu,Jagananna Tho Siddham,1440786,23
124085431614119,Actress Chandini,Actress Chandini,1407614,28
244801258708580,Telangana Central - తెలంగాణ సెంట్రల్,Telangana Central - తెలంగాణ సెంట్రల్,1379873,48
310675968794163,Sansad hisar ranjit singh,chirag taneja,1322898,159
273833329682616,JanaSena Party,JanaSena Party,1290331,40
479998865355592,Aditya Birla Group,Aditya Birla Group,1231523,88
1386572011602924,BJP Keralam,BJP Keralam,1226545,187
179670408573941,Tamilakam - தமிழகம்,Ulta Chashmaa,1224748,44
666817296799719,Singai G Ramachandran,Singai G Ramachandran,1194853,156
239559462872658,BJP Jharkhand,BJP Jharkhand,1180539,643
258438557349814,हाथ बदलेगा हालात - Hath Badlega Halaat,हाथ बदलेगा हालात,1177729,1240
237004036171328,Aamcha Maharashtra - आमचा महाराष्ट्र,Ulta Chashmaa,1125457,80
21169267101,Give,Give,1118530,54
125848537277832,Jogesh JOJO,Jogesh JOJO,1103922,12
754034228017013,Indian National Congress - Odisha,Indian National Congress - Odisha,1062206,1004
721478984578826,Dr. Ponguru Narayana,Dr. Ponguru Narayana,1054636,603
105605609055420,Ramvir Singh Bidhuri,Ramvir Singh Bidhuri,1033811,453
107848055262209,Paltu Paltan - पलटू पलटन,Paltu Paltan - पलटू पलटन,1029521,1260
1549042525310602,Vijay Sai Reddy,Vijay Sai Reddy,1022689,1020
189180080938074,Maaveeran Modi,Maaveeran Modi,1022068,260
214986311703291,We Follow Kartik Pandian,MindBreakMedia,1014684,524
107738192426156,JDU National,The Narrative Builders,998846,17
110911388016914,TVS Raider,TVS Raider,995700,62
174283119250672,Bal Raksha Bharat,Bal Raksha Bharat,977905,48
132495066874513,GAIL (India) Limited,Interactive Bees Pvt. Ltd,975703,127
206756829376811,BJP Delhi,BJP Delhi,962973,368
106135688866214,India Wants Kejriwal,India Wants Kejriwal,903340,11
22390992794,Deepender Singh Hooda,Deepender Singh Hooda,900845,527
234496183087588,Pemmasani For Guntur,Aadhan Media Pvt Ltd,896314,29
106188778669635,Majji Srinivasarao,Majji Srinivasarao,893598,268
269999146198889,Nam Namo - ನಮ್ ನಮೋ,Nam Namo,891044,221
132689140088396,smilefoundation,Smile Foundation,877565,176
107334185444129,Charitism Global,Charitism Global,872218,56
108923581963430,Nirmamata,Nirmamata,862811,372
129093997253405,C.R.I. Group,C.R.I. Group,857072,391
247944825069932,Amaar Sonar Bangla - আমার সোনার বাংলা,Amaar Sonar Bangla - অমর সোনার বাংলা,851662,73
592529271182717,My First Vote For Modi,My First Vote For Modi,845425,821
175139949013002,Jagan: The Juggernaut,Team Jagananna,838776,52
109470364774303,Ellorum Nammudan,Ellorum Nammudan,832450,208
219370901508253,Rajeev Chandrasekhar,Kiran Nath,829166,462
103508662417281,Voice Of Mahabubnagar,Voice Of Mahabubnagar,823403,150
100377505026365,Bhashyam Praveen,Bhashyam Praveen,818136,190
189446070924635,Manasevakmodi,Manasevakmodi,814816,532
180005665207295,Kannada Sangamam - ಕನ್ನಡ ಸಂಗಮ,Kannada Sangamam - ಕನ್ನಡ ಸಂಗಮ,805551,40
104136199047870,Bharat Todo Gang - भारत तोड़ो गैंग,Bharat Todo Gang - भारत तोड़ो गैंग,773670,719
123948154327538,BJP Mumbai,Bharatiya Janata Party,770404,88
31867849201,News18,News18,769916,82
175767759847352,Janata Dal (United),Janata Dal (United),763709,1440
1736962946432833,Ganta Followers,Ganta Followers,751859,426
640369399392914,Baijayant 'Jay' Panda,Baijayant 'Jay' Panda,740761,138
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,736182,1401
146177392223532,Indian National Congress - Punjab,Indian National Congress - Punjab,730843,193
1549882571892798,Gurjeet Singh Aujla,BubbleWorld,715177,443
180005665207295,Kannada Sangamam - ಕನ್ನಡ ಸಂಗಮ,Ulta Chashmaa,715157,30
186368194568163,Sunowlo Sikkim,Sunowlo Sikkim,705536,221
110834131975270,Namburu sankar rao,Namburu sankar rao,703988,358
226538527510417,Challa Vamshi Chand Reddy,Challa Vamshi Chand Reddy,702689,253
100232173035863,ATM Sarkar - ಎಟಿಎಂ ಸರ್ಕಾರ,ATM Sarkar - ಎಟಿಎಂ ಸರ್ಕಾರ,702107,158
313714905154403,Sidha Chashama 2.0 - सीधा चश्मा 2.0,Ulta Chashmaa,700327,50
122097755162008658,AP Tomorrow,AP Tomorrow,699913,79
260082880521669,Haath Badlega Halaat-हाथ बदलेगा हालात,Policy Briefcase,699632,557
321849925071414,Dr. Parthasarathi,Dr. Parthasarathi,699185,264
103782051383159,School of Politics,School of Politics,697129,142
347337386104390,Bode Ramachandra Yadav,Bode Ramachandra Yadav,688734,171
100198806388306,The Nation Vibes,The Nation Vibes,685251,832
134096660080505,Mansoor Khan Fan Club,Mansoor Khan Fan Club,677813,163
261419177049103,Punjab Congress Anandpur Sahib,Punjab Congress Anandpur Sahib,671758,233
107745017317977,Surya Prakash Singh,Surya Prakash Singh,667644,203
132480390432415,Jindal Stainless Solutions,Chariot Media,665232,16
1510631479236816,Hawa Badlo,Interactive Bees Pvt Ltd,660274,195
715957015215655,Kollu Ravindra,Kollu Ravindra,659483,1223
2311958942397451,Aadhan Telugu,Aadhan Media Pvt Ltd,652839,42
192304927305526,ଓଡ଼ିଆ ଅସ୍ମିତା Odia Asmita,ଓଡ଼ିଆ ଅସ୍ମିତା Odia Asmita,646747,1367
244801258708580,Telangana Central - తెలంగాణ సెంట్రల్,Ulta Chashmaa,646174,12
1401898693412303,Ranjit Singh Dhillon,Ranjit Singh Dhillon,643025,1149
438039076647417,Dr. Anirban Ganguly,AMIT KUMAR,640060,328
230488620469978,Lalitesh Pati Tripathi,Lalitesh Pati Tripathi,638848,83
116747251422786,महा बिघाडी -  Maha Bighadi,महा बिघाडी -  Maha Bighadi,630347,441
102831339370429,Quarter Biryani,Quarter Biryani,627544,127
1675050919293621,Modippada,Modippada,626807,172
110555385263382,Unfiltered Jammu Kashmir,jaagtajammu.com,625897,489
217974338073268,Stories of Andhra Pradesh,Jagananna Tho Siddham,622673,16
208738822331846,Taranjit Singh Sandhu,Taranjit S Sandhu,621742,468
178813168851171,Arjun Modhwadia,Arjun Modhwadia,619123,383
178957415290260,Gaddam Vamsi Krishna,Gaddam Vamsi Krishna,612510,159
123975634125828,Vinay Kumar GB,Vinay Kumar GB,608969,320
573455786084034,Dr Shrikant Eknath Shinde,Dr Shrikant Eknath Shinde,605542,116
116010368150681,Mission 125+,Mission 125+,605497,1155
255201467680035,Dr Gottipati Lakshmi,Aadhan Media Pvt Ltd,603219,55
841171029605948,India News,India News,597282,105
163382127013868,Shiromani Akali Dal,Shiromani Akali Dal,596491,264
464315837296981,Dr. Subhash Sharma,Dr. Subhash Sharma,585398,275
2178801535721501,Karan Singh Uchiyarda Fan Club,Karan Singh Uchiyarda Fan Club,584517,146
1467424036838815,Tgv bharath,Tgv bharath,580268,244
109470364774303,Ellorum Nammudan,DMK,574092,154
1433526693616228,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,573281,39
119071517966663,మేలుకో ఆంధ్రుడా - Meluko Andhrudaa,Political Engineer,572987,491
266758353184420,Aapka Apna Vaibhav,Congress Phir Se,572381,332
165139916671778,Vishnu Deo Sai,Vishnu Deo Sai,569439,827
116624081465494,Khadeema Congress-ಖದೀಮ ಕಾಂಗ್ರೇಸ್,Khadeema Congress-ಖದೀಮ ಕಾಂಗ್ರೇಸ್,558980,96
238312242695064,Bengal Pulse,Blow Horn Media,558154,233
100419273097954,Lekha Jokha Maharashtracha - लेखा जोखा महाराष्ट्राचा,Lekha Jokha Maharashtracha - लेखा जोखा महाराष्ट्राचा,549133,480
389272039256,Jaago Re,Jaago Re,548000,7
110113242150204,ఆంధ్ర భవిష్యత్తు,Ap Feedback,546501,280
225665593970998,"Odia Dignity, Odia Pride","Odia Dignity, Odia Pride",544900,120
2049133455373895,AIADMK's IT Wing,AIADMK's IT Wing,541813,36
565237140189986,Ramesh Awasthi,Ramesh Awasthi,539192,884
277393305452102,Tamilisai For Southchennai,Sheer Media Pvt Ltd,539183,44
1401117106783618,Bjp Chhattisgarh,Bharatiya Janata Party,538192,167
286724994809192,Karan Singh Uchiyarda,Karan Singh Uchiyarda,536126,363
1636267793168587,Gajendra Singh Shekhawat Fan Club,Gajendra Singh Shekhawat Fan Club,525903,186
1500691596858575,Sudhakar Singh,Sudhakar Singh,524443,496
105209472211637,Voice of Andhra,Voice of Andhra,522394,11
170701506287112,Indian National Congress -  Himachal Pradesh,Himachal Pradesh Congress,515101,123
479787099071251,Vemireddy Prabhakar Reddy,Vemireddy Prabhakar Reddy,511329,80
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,504451,97
262826941324532,Priyanka Gandhi Vadra,Priyanka Gandhi Vadra,501459,77
1667882310017329,NBT Fark Hai,Collateral,498677,107
308029012385474,नवीन कुरुक्षेत्र,Optechs,496471,566
273828879152985,Saidi Reddy BJP,Digital Connect,495329,170
254918747704870,ModiRashtraa,Modirashtraa,494055,171
265080346695418,Parampal Kaur Sidhu - Retd. IAS,DigiComm Marketing Services LLP,493066,531
108985678548627,Elevate Now,Elevate Now,485774,33
264860923382637,Sagar Khandre for Bidar,Karnataka Times,484200,154
107878575961821,Sukhbir Singh Badal,Sukhbir Singh Badal,483669,198
259217110598716,पूर्वोदय - ପୁରଭୋଦୟ,पूर्वोदय - ପୁରଭୋଦୟ,480783,28
241514899047302,Nalanda Lok Sabha - नालंदा,The Narrative Builders,479651,298
30702412762,NewsX,NewsX,475345,289
108372815466473,Ravindra Chavan FC,Ravindra Chavan FC,472613,73
173604879178414,Punjab Modi Naal,Punjab Modi Naal - ਪੰਜਾਬ ਮੋਦੀ ਨਾਲ,470152,369
273714985814749,Sheohar Lok sabha- शिवहर,The Narrative Builders,468102,243
1644843492492949,Kannababu Kurasala,Kannababu Kurasala,467585,444
230101340192959,Gopalganj Lok Sabha - गोपालगंज,The Narrative Builders,466939,267
191811654026858,Jahanabad Lok Sabha - जहानाबाद,The Narrative Builders,466273,345
303171139834248,"Chief Electoral Officer, Gujarat","Chief Electoral Officer, Gujarat",460807,31
348587598329657,Sadda Punjab,Digital Maniaz,457660,18
144997275568530,Ravneet Singh Bittu,Ravneet Singh Bittu,455872,267
112353085288156,Dr Botcha Jhansi Lakshmi,Dr Botcha Jhansi Lakshmi,455321,30
263002740223237,Sitamarhi Lok Sabha - सीतामढ़ी,The Narrative Builders,450384,244
625450290808829,Trivendra Singh Rawat,Trivendra Singh Rawat,448888,153
353203861494133,Galla Madhavi,Galla Madhavi,447066,60
251277491400269,Siwan Lok Sabha - सिवान,The Narrative Builders,445543,259
309587409080562,YSR Congress  Party - YSRCP,Jagane Kavali,445491,28
146272498716810,Narayan Seva Sansthan,Narayan Seva Sansthan,443155,18
897056127025640,InKhabar,InKhabar,441244,55
194345060435873,Pulse Keralam,Blow Horn Media,439910,149
845098928881488,IDream Telugu News,iDream Media,435921,208
1614689125343644,SILAII,SILAII,431754,32
112249214725918,ChotaNews,ChotaNews,431202,815
101359192790301,Bobby Bhai For Sambalpur,Bobby Bhai For Sambalpur,431014,772
259970610529186,Valmiki Nagar Lok Sabha - वाल्मीकि नगर,The Narrative Builders,430178,227
254773574703403,BB Patil,Rastra,425210,292
207315882474207,Agiaon Vidhan Sabha - अगिआंव,The Narrative Builders,424582,209
110204577157430,Yuvagalam,Yuvagalam,420556,17
438830999958384,Basant Agrawal,Basant Agrawal,420432,139
269612676227090,"सामान्य प्रशासन विभाग - सामाजिक विकास समन्वय, महाराष्ट्र शासन",Olio Global AdTech,419258,24
615865985165198,Devineni Avinash,Devineni Avinash,415325,136
1521106071438318,CMO Chhattisgarh,Span Communications,407184,5
139596459228626,Governance Matters India,Governance Matters India,407056,67
518741331476029,Praveen Singh Aron,Praveen Singh Aron,405771,116
117689481423531,राष्ट्रवादी स्वाभिमान,राष्ट्रवादी स्वाभिमान,405456,107
111310071985501,Lokatantra Odia,Lokatantra Odia,401232,200
224163281073368,BJP Arunachal Pradesh,BJP Arunachal Pradesh,400000,20
112058781694921,Fiigs India,Lebhaari,398467,58
1677520332363304,Dr. Varaprasadarao Velagapalli,Aadhan Media Pvt Ltd,396568,32
282708621582385,10 साल अन्याय काल,10SaalAnyayKaal,393505,881
148403961688984,Mana Telangana,Brand Brood Pvt. Ltd,382992,53
200026516533142,NaMo Nayakan - Narendra Modi Fans,Blow Horn Media,378133,116
263084037549244,Dolly Sharma,Dolly Sharma,375712,179
270111243000982,Harsimrat Kaur Badal,Harsimrat Kaur Badal,374714,153
1108242266050014,Mohan Lal Badoli,Mohan Lal,374126,1150
302728832916209,Designbox Consulting,DZINE BOX CONSULTING SOLUTION,373526,30
271474582715747,Nabin Chandbali,Mindbreakmedia,371224,421
429907403823884,Satya Kumar Y,Satya Kumar Y,368778,243
20386543316,WWF-India,WWF-India,367698,60
481881582235558,Sandeep Shelke - संदीप शेळके,Sandeep Shelke - संदीप शेळके,367613,256
203181590261286,Bhanu Pratap Singh,Bhanu Pratap Singh,363055,230
294260637288,Dainik Bhaskar,Dainik Bhaskar,362238,3
238026926068479,Dr. Pasilian Nazerath,EXULTANT INTERIORS AND FABRICATORS,361318,231
221732514365061,Munger Lok Sabha - मुंगेर,The Narrative Builders,359820,201
1486073284954934,Nara Chandrababu Naidu,Nara Chandrababu Naidu,358684,24
242306372290717,Shubhashray Housing India,Shubhashray Housing India,358340,37
238312242695064,Bengal Pulse,Bengal Pulse,358102,257
214246471765109,Kondru MuraliMohan,Kondru MuraliMohan,357912,41
121993441223924,Anil Joshi,Anil Joshi,357109,151
517848901627065,Dr Ashok Tanwar,Digital Pitch,355008,525
560473447401819,Gonuguntla Venkat Shiva Sita Rama Anzanneyllu,Gonuguntla Venkat Shiva Sita Rama Anzanneyllu,354291,119
219112571277970,Odia Pulse,Blow Horn Media,352658,82
408200165951880,Jayaprakash Hegde,Jayaprakash Hegde,347458,98
710053035799166,Phir Ek Baar Modi Sarkar - Uttar Pradesh,up2022.com,344932,485
316365575140365,Rozana Spokesman,Rozana Spokesman,344197,190
219112571277970,Odia Pulse,Odia Pulse,343690,251
219666447902443,Andhra Central - ఆంధ్ర సెంట్రల్,Andhra Central - ఆంధ్ర సెంట్రల్,341338,56
248225185038492,Banka Lok Sabha - बांका,The Narrative Builders,340674,218
1328753983820160,Prataprao Jadhao,Prataprao Jadhao,340291,276
266521306541563,Namburu YSRCP,Namburu Sankara Rao,339835,110
104516512296314,Kartikeya Sharma,Kartikeya Sharma,337910,291
428335851265699,Team Raja Warring Social Media,Team Raja Warring Social Media,337185,810
104736419210593,PACE INDIA,PACE INDIA,336623,43
219467421243842,ପରଖିଛୁ ଯାହାକୁ ବାଛିବୁ ବି ତାହାକୁ - Parakhichhu Jahaku Bachhibu bi Tahaku,ପରଖିଛୁ ଯାହାକୁ ବାଛିବୁ ବି ତାହାକୁ,336033,1152
218704704662667,BJP For Warangal,BJP For Warangal,335278,342
236505122883075,Jhanjharpur Lok Sabha - झंझारपुर,The Narrative Builders,333258,161
139329159472557,Amarinder Singh Raja Warring,Amarinder Singh Raja Warring,333163,134
1212466045622683,Anshul Avijit,Anshul Avijit,331260,410
114233898263244,Indian Compass Videos,theindiancompass.com,330785,572
178279532270236,Vasant Masala,Vasant Masala,329811,28
1465182463784891,Gudivada TDP,Gudivada TDP,327836,437
605390272841833,Shrirang Appa Barne,Shrirang Appa Barne,326769,322
238546799350871,Beats of Calicut,Maitri,325255,86
106834854201847,Rashmi Barve,Rashmi Barve,324878,144
191478147390558,Vamsi Gaddam for Peddapalli,Vamsi Gaddam for Peddapalli,324410,35
170629599985639,I Support Sudhir Mungantiwar,I Support Sudhir Mungantiwar,323131,195
116900194791136,NCPSpeaks_Official,NCPSpeaks_Official,323011,130
191109444772340,Yarlagadda VenkatRao,Aadhan Media Pvt Ltd,320730,45
154971854688759,Vijay Inder Singla,Vijay Inder Singla,319408,250
126299757519320,State Headlines,First Show Online Services,318796,5
220601864479055,Dr. Nirmal Kumar Saha,Car Driver4Me Solution Private Limited,317859,51
797927846899300,Flag Foundation of India,Flag Foundation of India,317603,92
461249407296748,Gudivada Amarnath,Gudivada Amarnath,317403,18
110460881548422,Raja Raja Budhiraja,Raja Raja Budhiraja,317217,203
279308672089138,BJP Uttarakhand,Bharatiya Janata Party (BJP),315114,160
1379612502082198,Alok Misra,Alok Misra,313831,427
100174048756032,Abhaysinh Jagtap - अभयसिंह जगताप,Abhaysinh Jagtap - अभयसिंह जगताप,313080,32
106816672428683,Neelambari Herbal Ayurveda,These ads ran without a disclaimer,312538,6
154049638412462,Chandan Singh Chauhan,Chandan Singh Chauhan,312160,444
249708958217278,Malabar Central - മലബാർ സെൻട്രൽ,Ulta Chashmaa,311769,16
113620508007766,Sankha,Sankha,308020,766
605528889910067,Ranjith Reddy,Ranjith Reddy,307919,218
308663028992823,Nardev Singh Bobby Maan,Nardev Singh Bobby Mann,307708,156
589197407795940,Kumari Selja,Kumari Selja,307607,419
256823794175924,Supaul Lok Sabha - सुपौल,The Narrative Builders,307455,153
221256415973730,Ankuram IVF,Ankuram IVF,306783,35
528307847248802,Indian National Congress -  Madhya Pradesh,Indian National Congress -  Madhya Pradesh,306536,97
548703608487362,Arvind Khanna,Arvind Khanna,306135,592
627774597254578,Indian National Congress - Uttar Pradesh,Indian National Congress - Uttar Pradesh,305820,123
285466861307279,Eatala Rajendar For Malkajgiri MP,Rastra,305572,417
103079275588275,साकार यादव,साकार यादव,304802,226
312857652029,ShivSena,ShivSena,304021,65
294552453730324,Shambhavi - शाम्भवी,Shambhavi Choudhary,303573,270
239593325906682,Madhepura Lok Sabha - मधेपुरा,The Narrative Builders,303302,149
263782916819827,CM Ramesh For Anakapalli,Aadhan Media Pvt Ltd,303253,23
110896362028145,ICONS - Tata Ambani Adani,ICONS - Tata Ambani Adani,302852,61
1045477442195385,Hirabhai Jotva,Hirabhai Jotva Fan Club,301225,50
115342761476836,Shivsena - शिवसेना,Shivsena - शिवसेना,298809,165
259594870566282,Vemireddy Prashanthi Reddy,Hemanth Cherukuri,298000,60
233140846558193,Change4TVM,Concept Communication Ltd,296818,91
273840385810910,Nabin Sambalpur,Mindbreakmedia,296254,287
107514391687649,मधुबनी मांगे बदलाव,मधुबनी मांगे बदलाव,294721,54
521639147910659,Bhagirath Choudhary,Bhagirath Choudhary,294455,466
260734237119407,C R Paatil Fan Connect,Social Rajneeti,294194,364
100444198277312,Malvinder Singh Kang,Malvinder Singh Kang,293708,440
568928239883450,The Times Of A Better India,LEO DIGITAL COMMUNICATIONS PVT LTD,293170,124
100183121417878,Deepak Yadav,Deepak Yadav,293003,239
103819002012731,आ रही है कांग्रेस,आ रही है कांग्रेस,292153,114
983173568512717,Sri Krishna Devarayalu Lavu,Sri Krishna Devarayalu Lavu,292070,25
108938658814779,ସୁପର ମିଛୁଆ,ସୁପର ମିଛୁଆ,291220,649
109359160656761,हमारी प्रियंका दीदी,हमारी प्रियंका दीदी,291137,115
213958998802005,BC Janardhan Reddy,BC Janardhan Reddy,289922,101
223168224221191,Katihar Lok Sabha - कटिहार,The Narrative Builders,289655,176
127918642163776,Balwinder Sekhon,Balwinder Sekhon,288612,203
102727651212979,Ram Satpute FC,Outstretch Analytics and Media,288479,81
100594849801592,Socialtalk News,Socialtalk News,287379,163
263177703537324,Kishanganj Lok Sabha - किशनगंज,The Narrative Builders,286674,174
237647452933504,BBC News हिन्दी,These ads ran without a disclaimer,286361,13
528285937371225,Dr. Amar Singh,Dr. Amar Singh,285670,234
262893786911633,Pakkaa Local,Madhura Charitable Trust,285170,135
254773574703403,BB Patil,RASTRA,284914,62
194265304338738,Bolla Brahmanaidu,Bolla Brahmanaidu,282939,109
253832617808976,ਬਠਿੰਡਾ ਲੋਕ ਸਭਾ ਦੀ ਬਦਲੀ ਨੁਹਾਰ,Shiromani Akali Dal,282527,44
194492793757708,Purnia Lok Sabha - पूर्णिया,The Narrative Builders,281853,160
257095197494174,Anupama Singh,Anupama Singh,280675,284
312731478590171,Siyasat Di Baat - ਸਿਆਸਤ ਦੀ ਬਾਤ,Ulta Chashmaa,280644,33
264039930130486,Anshay Kalra - Rocky Ji,Harold Electricals,280109,13
100474802888599,My Vote 4 BJD,My Vote 4 BJD,279622,633
7621489963,SPYKAR,SPYKAR,279576,15
323076075093317,Mahesh Parmar,Mahesh Parmar,278608,364
399790556831344,PP Chaudhary,PP Chaudhary,278531,352
985813238273906,Sribharat Mathukumilli,Politics for Impact,278132,103
226415840870052,Pantham Nanaji,Pantham Nanaji,277345,231
260307010498491,Shahu Chhatrapati,Quink Inc,275126,173
143813682300099,"RDT - Rural Development Trust, Anantapur","RDT - Rural Development Trust, Anantapur",273908,49
209843059045620,Shivajirao Adhalrao Patil,Amit Jadhav,272569,80
535293583268635,Kailash Choudhary,Kailash Choudhary,272394,351
1549882571892798,Gurjeet Singh Aujla,Gurjeet Singh Aujla,271517,281
296240523565791,Bharosa Bhilwara ka -भरोसा भीलवाड़ा का,Bharosa Bhilwara ka,270698,368
170367986668084,Jaiveer singh,Jaiveer singh,269952,318
200156893402558,Sushil Rinku,Sushil Rinku,269926,213
304421537040442,SDF News,SDF News,269817,103
379657038785575,Aam Aadmi Party Haryana,Aam Aadmi Party Haryana,269168,11
233652156827056,Dr Prabha Mallikarjun SS,Dr Prabha Mallikarjun SS,266767,103
