,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
26,Daru Badnaam,"Param Singh, Kamal Kahlon, Pratik Studio",Daru Badnaam,5KLNI7nhEUDcxF0sGM0f0w,2TzyJEUfWHGRsk3r6Emvbk,64,2016-12-24,185333,False,https://open.spotify.com/track/2TzyJEUfWHGRsk3r6Emvbk,0.541,0.676,8,-3.893,0,0.153,0.442,0.0,0.159,0.845,90.037
27,Wakhra Swag,"Navv Inder, Badshah",Gabru Top 10,2qKfETE3WOtEghhX07DR4L,4a4IeXUf9Alik3S7WS1eEl,53,2017-01-25,190616,False,https://open.spotify.com/track/4a4IeXUf9Alik3S7WS1eEl,0.816,0.645,0,-5.87,0,0.214,0.147,1.76e-06,0.086,0.753,79.962
28,Proper Patola,"Badshah, Diljit Dosanjh, Aastha Gill",Namaste England (Original Motion Picture Soundtrack),6qokplIH6RyEbm9Q2DiBQB,39ujbBjTwwqUFySaCYDMMT,71,2018-10-03,178605,False,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT,0.77,0.824,1,-6.491,0,0.0851,0.485,0.0,0.318,0.49,172.006
29,"Ishare Tere (From ""Ishare Tere"")","Guru Randhawa, Dhvani Bhanushali",High Rated Gabru - Guru Randhawa,6EDbwGsQNQRLf73c7QwZ2f,3bHI0o9TLQ2jJzjr0ES7dX,56,2019-03-02,189152,False,https://open.spotify.com/track/3bHI0o9TLQ2jJzjr0ES7dX,0.707,0.941,1,-2.606,0,0.041,0.0173,3.65e-05,0.134,0.337,99.013
30,"Woofer (feat. Snoop Dogg, Zora Randhawa & Nargis Fakhri)","Dr Zeus, Snoop Dogg, Zora Randhawa, Nargis Fakhri",Global Injection,6yHEBRCD51EZ6zZJ84lfs3,3cvMKd8PNsfNyyXtxWil9o,53,2018-10-04,172360,True,https://open.spotify.com/track/3cvMKd8PNsfNyyXtxWil9o,0.889,0.879,6,-4.475,0,0.294,0.172,0.0,0.792,0.752,96.016
31,"Tere Naal Nachna (From ""Nawabzaade"")","Badshah, Sunanda Sharma","Tere Naal Nachna (From ""Nawabzaade"")",3oKVajVkc7DPuVUTI7Y2Fm,5DIt4eq2D6CZjX1s5jwrnP,63,2018-07-05,166615,False,https://open.spotify.com/track/5DIt4eq2D6CZjX1s5jwrnP,0.912,0.677,0,-4.212,1,0.0713,0.193,0.0,0.0939,0.94,115.061
32,Badnam ( Orignal Version ),"Mankirt Aulakh, DJ Flow",Badnam (original Version),2XX8DrZ2YbrSBk3T4QMnMH,7m4Zte4sSwG73QwBsjC4P6,61,2017-09-21,203596,False,https://open.spotify.com/track/7m4Zte4sSwG73QwBsjC4P6,0.857,0.787,8,-2.683,1,0.298,0.0531,0.0,0.276,0.597,89.039
33,Nashe Si Chadh Gayi,"Vishal-Shekhar, Arijit Singh, Caralisa Monteiro, Jaideep Sahni",Befikre,2NdNeBKi8ctKgKRH5UGRbO,0biCSADTAblvLTLtJz4pXO,72,2016-12-01,237876,False,https://open.spotify.com/track/0biCSADTAblvLTLtJz4pXO,0.799,0.784,4,-5.207,0,0.0519,0.11,2.84e-06,0.227,0.26,96.953
34,Coka,Sukh-E Muzical Doctorz,Coka,5Gs0qqgUdug7hgeFPcTOtC,4ZoPO0uIf19KKO7B0HEnmP,59,2019-06-01,141862,False,https://open.spotify.com/track/4ZoPO0uIf19KKO7B0HEnmP,0.789,0.811,0,-2.623,1,0.0972,0.124,1.96e-05,0.176,0.661,93.985
35,Bapu Zimidar,Jassie Gill,Replay,1rwXBMrRSIISRsa3nSRcxv,1fy1ajjwWHUFdxKQ3oVcMo,60,2016-06-17,180528,False,https://open.spotify.com/track/1fy1ajjwWHUFdxKQ3oVcMo,0.723,0.911,6,-2.656,1,0.0443,0.14,0.0,0.235,0.9,80.949
36,Nikle Currant,"Jassie Gill, Neha Kakkar, Jaani",Nikle Currant,7dXErOdlQlzs0pYIYmPP2c,5T3rp70MEW4XnWv82BDVey,58,2018-10-12,212925,False,https://open.spotify.com/track/5T3rp70MEW4XnWv82BDVey,0.811,0.921,5,-3.152,0,0.117,0.182,0.0,0.823,0.756,94.98
37,"Made In India (From ""Made In India"")",Guru Randhawa,High Rated Gabru - Guru Randhawa,6EDbwGsQNQRLf73c7QwZ2f,1VWKE1mEA5V1Y61fzJI6rg,50,2019-03-02,202568,False,https://open.spotify.com/track/1VWKE1mEA5V1Y61fzJI6rg,0.762,0.832,11,-4.765,0,0.0466,0.126,0.0,0.106,0.561,100.017
38,"Suit (From ""Suit"")","Guru Randhawa, Arjun",High Rated Gabru - Guru Randhawa,6EDbwGsQNQRLf73c7QwZ2f,7uxE6f0oRcbtUXuh6P1aRN,43,2019-03-02,200752,False,https://open.spotify.com/track/7uxE6f0oRcbtUXuh6P1aRN,0.643,0.847,2,-3.166,0,0.168,0.229,0.0,0.121,0.779,91.718
39,Bom Diggy Diggy,"Zack Knight, Jasmin Walia","Bom Diggy Diggy (From ""Sonu Ke Titu Ki Sweety"")",3tOA9zT2Kg5lPln6oQcLfZ,6qCNaRRr5xJALfNJvh0NAw,65,2018-02-08,238530,False,https://open.spotify.com/track/6qCNaRRr5xJALfNJvh0NAw,0.782,0.827,11,-4.219,0,0.0627,0.159,0.0,0.226,0.498,104.032
40,Yeh Baby,Garry Sandhu,Yeh Baby,2tNLI0zZIICrQRlC4c3CVn,4bAimZUcP0JK806hdCuAjt,63,2018-04-03,185455,False,https://open.spotify.com/track/4bAimZUcP0JK806hdCuAjt,0.8,0.747,10,-2.048,0,0.0877,0.0113,0.0,0.0401,0.85,176.072
41,No Competition,"Jass Manak, DIVINE",No Competition,68t62rh4vZdIErvhqQG4kq,1TRgZ55GFCKSbrTb62rmra,62,2020-09-13,205500,False,https://open.spotify.com/track/1TRgZ55GFCKSbrTb62rmra,0.868,0.635,10,-6.352,0,0.227,0.164,0.0,0.0898,0.621,90.019
42,Bad Munda,"Jass Manak, Emiway Bantai",Bad Munda,4vfywUhHgqQMeNcxEHXoHp,7LLFTFn3tWAgUnpSgjfaz1,43,2021-08-20,177273,False,https://open.spotify.com/track/7LLFTFn3tWAgUnpSgjfaz1,0.854,0.876,7,-2.921,1,0.214,0.239,0.0,0.117,0.501,99.018
43,Prada,Jass Manak,Prada,0TlMeVxEhFeEGR7ziZsBvc,6wWxQMhQgOCbmQkdOGslT4,62,2019-02-20,182115,False,https://open.spotify.com/track/6wWxQMhQgOCbmQkdOGslT4,0.721,0.65,9,-5.426,0,0.0903,0.0361,0.0,0.358,0.502,156.008
44,Gur Nalo Ishq Mitha - The Yoyo Remake,"Yo Yo Honey Singh, Malkit Singh",Gur Nalo Ishq Mitha - The Yoyo Remake,0Z8c72ooN5u5MeQzoYAWsv,6YmRRCqSd6n4Qd3ziRfPSc,52,2019-07-24,211674,False,https://open.spotify.com/track/6YmRRCqSd6n4Qd3ziRfPSc,0.774,0.848,2,-2.712,1,0.0392,0.0299,0.00932,0.0491,0.607,100.027
45,Slowly Slowly,"Guru Randhawa, Pitbull, DJ BLACKOUT, Dj Money Willz",Slowly Slowly,5R78XJRvZJTaLdnEOUn9Rg,4pBxb7WuLsC3YyA9cj4T2l,49,2019-04-19,204952,False,https://open.spotify.com/track/4pBxb7WuLsC3YyA9cj4T2l,0.772,0.752,5,-5.169,1,0.0798,0.0858,0.0,0.728,0.455,101.027
46,One Bottle Down,Yo Yo Honey Singh,One Bottle Down,3qpZdl74dOM8I4OC2l4zO8,3hVc5y5mbcIEPADRGGGru9,62,2015-03-20,196557,False,https://open.spotify.com/track/3hVc5y5mbcIEPADRGGGru9,0.655,0.629,1,-7.231,1,0.0415,0.00109,0.063,0.0752,0.193,131.966
47,Saiyaan Ji,"Yo Yo Honey Singh, Neha Kakkar, Nushrratt Bharuccha",Saiyaan Ji,00GpnM3JCsq6rtfBHptXZa,39QJ7KkN3L8LLqQqsO85W1,55,2021-01-27,205450,False,https://open.spotify.com/track/39QJ7KkN3L8LLqQqsO85W1,0.896,0.678,0,-2.546,0,0.0815,0.0137,4.1e-05,0.11,0.604,130.024
48,"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")","Yo Yo Honey Singh, Simar Kaur, Ishers",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,3NKuSd9Qa5fzwhqiuKYFh4,63,2018-03-12,226696,False,https://open.spotify.com/track/3NKuSd9Qa5fzwhqiuKYFh4,0.765,0.89,5,-4.608,0,0.0824,0.502,0.0,0.0423,0.918,99.961
49,"Dheere Dheere (From ""Dheere Dheere"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,0Bvs8QqyAmtsjxU0od3Deg,34,2018-03-12,212413,False,https://open.spotify.com/track/0Bvs8QqyAmtsjxU0od3Deg,0.73,0.58,0,-7.976,1,0.124,0.0399,2.48e-05,0.0703,0.55,167.915
50,"Blue Eyes (From ""Blue Eyes"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,7tIK0vD72tg9LAZonZqzCV,34,2018-03-12,220944,False,https://open.spotify.com/track/7tIK0vD72tg9LAZonZqzCV,0.77,0.51,10,-5.469,0,0.192,0.137,0.000106,0.0346,0.533,188.067
51,"Lungi Dance (From ""Lungi Dance"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,0ynMP0WETuh11JWaaVh7k8,33,2018-03-12,275399,False,https://open.spotify.com/track/0ynMP0WETuh11JWaaVh7k8,0.684,0.958,1,-4.793,1,0.264,0.314,1.94e-06,0.618,0.817,163.95
52,"Boss (From ""Boss"")","Meet Bros Anjjan, Yo Yo Honey Singh",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,5DhaMxua1EJIUPaXj0RFa0,46,2018-03-12,288084,False,https://open.spotify.com/track/5DhaMxua1EJIUPaXj0RFa0,0.745,0.825,7,-5.845,1,0.112,0.298,0.0,0.182,0.667,98.056
53,"Desi Kalakaar (From ""Desi Kalakaar"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,0M0QOc0aj8E3x2fINeaDEw,34,2018-03-12,253353,False,https://open.spotify.com/track/0M0QOc0aj8E3x2fINeaDEw,0.751,0.67,0,-4.587,1,0.267,0.0796,0.00018,0.0908,0.766,156.062
54,"Chaar Botal Vodka (From ""Ragini Mms 2"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,0QHEWicUbdyWuHsMcVd1Ka,63,2018-03-12,225837,False,https://open.spotify.com/track/0QHEWicUbdyWuHsMcVd1Ka,0.877,0.881,4,-3.713,0,0.0713,0.421,0.000345,0.12,0.874,123.024
55,"Gal Ban Gayi (From ""Gal Ban Gayi"") (feat. Sukhbir, Neha Kakkar, Yo Yo Honey Singh)","Meet Bros., Sukhbir, Neha Kakkar, Yo Yo Honey Singh",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,5zsz7azbdnyRixDqThVmLq,33,2018-03-12,254789,False,https://open.spotify.com/track/5zsz7azbdnyRixDqThVmLq,0.722,0.933,1,-3.173,1,0.069,0.203,5.21e-06,0.166,0.842,108.002
56,"Fugly (From ""Fugly"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,47NWX9ywxmyw0WDiXhYf8R,31,2018-03-12,153623,False,https://open.spotify.com/track/47NWX9ywxmyw0WDiXhYf8R,0.89,0.717,1,-5.858,1,0.0401,0.112,0.063,0.0402,0.658,100.034
57,"Love Dose (From ""Desi Kalakaar"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,2PonaFfmtrK4B252AQaa2H,35,2018-03-12,224444,False,https://open.spotify.com/track/2PonaFfmtrK4B252AQaa2H,0.843,0.768,11,-4.554,0,0.117,0.256,0.0,0.614,0.662,139.998
58,"Party All Night (From ""Boss"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,1bHBYJjUYYbUnwKYCFxV1F,58,2018-03-12,282793,False,https://open.spotify.com/track/1bHBYJjUYYbUnwKYCFxV1F,0.854,0.738,6,-5.388,0,0.231,0.203,0.0,0.298,0.804,129.989
59,"Party With The Bhoothnath (From ""Bhoothnath Returns"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,14Hqp8peZ2zjxoUClRvEcv,44,2018-03-12,321457,False,https://open.spotify.com/track/14Hqp8peZ2zjxoUClRvEcv,0.785,0.878,3,-4.653,1,0.241,0.0302,0.000756,0.225,0.335,132.01
60,"Abcd -Yaariyan (From ""Yaariyan"")","Benny Dayal, Shefali Alvares, Yo Yo Honey Singh",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,3pIshEbdyNMF3hW1MnZB58,47,2018-03-12,205513,False,https://open.spotify.com/track/3pIshEbdyNMF3hW1MnZB58,0.707,0.815,0,-4.282,1,0.0573,0.0217,0.0,0.0466,0.735,128.038
61,"One Bottle Down (From ""One Bottle Down"")",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,41w436UnIg4ySlfzgJLvVj,34,2018-03-12,196557,False,https://open.spotify.com/track/41w436UnIg4ySlfzgJLvVj,0.655,0.629,1,-7.231,1,0.0415,0.00109,0.063,0.0752,0.193,131.966
62,"High Heels Te Nachche (From ""Ki &amp; Ka"") (feat. Jaz Dhami, Aditi Singh Sharma)","Meet Bros., Yo Yo Honey Singh, Jaz Dhami, Aditi Singh Sharma",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,0MAL4lkJiJgCwGdO0Q264f,60,2018-03-12,212116,False,https://open.spotify.com/track/0MAL4lkJiJgCwGdO0Q264f,0.796,0.85,1,-3.641,1,0.203,0.0992,0.0,0.129,0.559,136.03
63,"Yaar Naa Miley (From ""Kick"")","Yo Yo Honey Singh, Jasmine Sandlas",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,0qzuXwxORXTwSsBU2aJGj5,64,2018-03-12,243206,False,https://open.spotify.com/track/0qzuXwxORXTwSsBU2aJGj5,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01e-06,0.75,0.551,127.988
64,"Aata Majhi Satakli (From ""Singham Returns"")","Yo Yo Honey Singh, Mamta Sharma, Nitu Choudhary",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,6KLeHx8RVLxmjp7IhieSsH,42,2018-03-12,193997,False,https://open.spotify.com/track/6KLeHx8RVLxmjp7IhieSsH,0.736,0.94,6,-3.94,0,0.215,0.2,0.00233,0.113,0.556,78.991
65,"Chhote Chhote Peg (From ""Sonu Ke Titu Ki Sweety"")","Yo Yo Honey Singh, Neha Kakkar, Navraj Hans",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,21Pn6p1f7GyZ7FurZYnJc5,54,2018-03-12,203882,False,https://open.spotify.com/track/21Pn6p1f7GyZ7FurZYnJc5,0.831,0.908,7,-3.317,1,0.101,0.328,0.00371,0.077,0.734,104.962
66,"Sunny Sunny (From ""Yaariyan"")","Yo Yo Honey Singh, Neha Kakkar",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,1TaeNA6443E9MHtbGXV0s8,57,2018-03-12,243319,False,https://open.spotify.com/track/1TaeNA6443E9MHtbGXV0s8,0.794,0.878,11,-7.502,0,0.078,0.00138,0.029,0.197,0.352,129.978
67,All Black,"Raftaar, Sukh-E Muzical Doctorz, Jaani",All Black,6YqX6js3JsQvNSYxKPNvjH,7n6AQKpZUGiJM2auF3yuDY,59,2015-10-10,218146,False,https://open.spotify.com/track/7n6AQKpZUGiJM2auF3yuDY,0.813,0.734,10,-5.464,0,0.0577,0.072,0.0,0.118,0.652,107.967
68,Daaru Party,Millind Gaba,Daaru Party,7q69B8KDb7cglbfxQQzk8u,5c4mS0wVYTmRrE7S9ZmcyX,54,2015-11-29,208483,False,https://open.spotify.com/track/5c4mS0wVYTmRrE7S9ZmcyX,0.846,0.902,9,-3.612,1,0.113,0.22,0.0,0.0683,0.934,133.006
69,,,,7gv0kaTU2gzN4w3HsGgleO,79MHQXymz8cGX8OOAjXn7J,0,0000,187542,False,https://open.spotify.com/track/79MHQXymz8cGX8OOAjXn7J,0.658,0.815,7,-5.898,1,0.0559,0.00132,0.0106,0.178,0.559,179.993
70,Kamariya,"Aastha Gill, Sachin Sanghvi, Jigar Saraiya, Divya Kumar",Stree,2Z1LgolP3fqxEJ89MS7n9C,5cjVsWqIkBQC7acTRhL0RO,67,2018-08-22,187983,False,https://open.spotify.com/track/5cjVsWqIkBQC7acTRhL0RO,0.825,0.666,4,-4.847,0,0.0554,0.143,2.81e-06,0.237,0.763,96.987
71,Oh Ho Ho Ho (Remix),"Sukhbir, Ikka",Hindi Medium,5wUJ0hK8HJMpf5WEotPihO,3F0I9AkbRwz12yz7Hxn0bF,63,2017-04-21,244417,False,https://open.spotify.com/track/3F0I9AkbRwz12yz7Hxn0bF,0.676,0.935,5,-3.499,0,0.0892,0.00917,0.0,0.097,0.802,144.944
72,"Birthday Bash (From ""Dilliwaali Zaalim Girlfriend"")","Yo Yo Honey Singh, Alfaaz",Super Hits Of Yo Yo Honey Singh,3QiwVIciEpzLwgHUugRvP5,4qhU1lAxys4UVlHHQeFr6J,54,2020-05-25,251539,False,https://open.spotify.com/track/4qhU1lAxys4UVlHHQeFr6J,0.8,0.93,2,-6.396,1,0.0636,0.015,3.21e-05,0.244,0.74,130.026
73,OH HO HO HO (Original Song),Sukhbir,OH HO HO HO (Original Song),5rjzvC3sxusUuShz1paV9R,3NpNTYETMcXspfs8hE8T7h,52,1999-01-01,367818,False,https://open.spotify.com/track/3NpNTYETMcXspfs8hE8T7h,0.733,0.963,10,-5.06,1,0.0665,0.0558,1.32e-05,0.0766,0.91,145.05
74,,,,6HBa9wXaZG8WIkhBY8p4aT,4LLvxxkWtt818FNO3cbsdo,0,0000,211034,False,https://open.spotify.com/track/4LLvxxkWtt818FNO3cbsdo,0.687,0.919,10,-3.28,1,0.0635,0.0939,4.38e-06,0.105,0.877,145.037
75,"Psycho Saiyaan (From ""Saaho"")","Sachet Tandon, Dhvani Bhanushali, Tanishk Bagchi","Psycho Saiyaan (From ""Saaho"")",1sywArD1z0FvcfsN1MK9GE,3ZjMdVOWxQ53FKrmkgCv95,67,2019-07-08,166461,False,https://open.spotify.com/track/3ZjMdVOWxQ53FKrmkgCv95,0.785,0.722,10,-2.604,0,0.158,0.0363,4.24e-06,0.452,0.848,189.857
